time (seconds),bearing (Degrees),range (Feet),elevation (Degrees)
20.00000000000015,-0.08217417272061325,749.4035396246807,-0.0688274875075597
20.500000000000156,-0.06709247252910067,791.4570041983837,0.8715506664341224
21.000000000000163,-0.047784754679260036,835.0460932635576,4.100995879510636
21.50000000000017,-0.14847657170866913,882.7759065110343,7.068575503456012
22.000000000000178,0.33983280585914516,937.513509829313,10.950892368069086
22.500000000000185,-0.10234119643100159,1001.1812520268717,14.560029560891753
23.000000000000192,0.09600802939886224,1075.1196928487284,18.647214120927877
23.5000000000002,0.1437187241739722,1159.9640501820563,21.943684486204916
24.000000000000206,0.05606183629072454,1255.5966097251985,24.825691109957464
24.500000000000213,-0.19650664746494476,1362.1423219897965,27.261632362619697
25.00000000000022,0.11002391046256481,1478.7877461744415,29.2242710939008
25.500000000000227,-0.03308878632199408,1605.315963467231,30.75826295878709
26.000000000000234,-0.232668493502173,1740.3320290339002,32.17822794410023
26.50000000000024,-0.123909059759052,1882.9754352756322,33.324905287927734
27.00000000000025,-0.11887588268209306,2033.3016990446254,34.694710204652644
27.500000000000256,-0.020437132711825057,2189.7749574239333,35.445331978254636
28.000000000000263,0.0982550836816048,2352.4895612876294,36.11203691491507
28.50000000000027,-0.23718488096048065,2520.068149355322,36.57863937673438
29.000000000000277,-0.04163879386084575,2693.2533612967877,37.08400913744697
29.500000000000284,0.20745813337417154,2870.3250754201713,37.44199759506234
30.00000000000029,-0.024685798761250852,3050.7340701198714,38.005109319047385
30.5000000000003,0.20461184565758417,3234.489099721866,38.18134889076689
31.000000000000306,-0.013646927178403271,3421.0094563010966,38.66423804506351
31.500000000000313,-0.05568759708737205,3610.6685542067275,38.72055332092365
32.00000000000032,-0.07636805985994895,3801.79746071097,38.985591423079995
32.50000000000029,0.41849885619881827,3994.874238648449,39.31353887642274
33.00000000000026,0.04394738030069272,4189.45485869787,39.2495554000158
33.500000000000234,0.17849475564130174,4386.573603582794,39.00469161205085
34.000000000000206,0.21744155768575885,4590.530051133358,39.79141661189563
34.50000000000018,0.5017255255736391,4799.3457300418695,39.51964695072295
35.00000000000015,1.088237233305019,5013.772893499472,39.78527393924612
35.50000000000012,2.050310374872421,5231.447077753542,40.07386676809872
36.00000000000009,2.6932870190719473,5452.298781868552,40.06776134073883
36.500000000000064,3.8506111412869055,5675.956693836227,40.605852441570626
37.000000000000036,5.190840176592534,5900.997851326186,40.77468049995374
37.50000000000001,6.148974670025382,6127.094668781032,40.55654451788063
37.99999999999998,7.586361362952166,6353.34819312407,41.127414787263454
38.49999999999995,9.210650840235509,6578.485736747793,41.14767483033356
38.99999999999992,10.46027855820151,6801.481762619949,41.22923600290576
39.49999999999989,12.06246803957953,7021.421091534365,41.48950997479522
39.999999999999865,13.59557719137962,7237.126877329331,41.64307159654289
40.49999999999984,15.228463689249741,7448.6607266203455,41.969808785089754
40.99999999999981,17.35393042491941,7654.354842622871,41.95394732458795
41.49999999999978,19.144120301481085,7854.766069919684,41.98681556907272
41.99999999999975,20.656584489576915,8048.248397377059,41.92805335284122
42.49999999999972,22.495743053755092,8236.14414874657,42.49666818359392
42.999999999999694,24.271807607118227,8417.63907229903,42.60003170217233
43.499999999999666,26.084508725622932,8592.787595177257,42.65556874998074
43.99999999999964,28.085512318148776,8761.144286065612,42.39388394532929
44.49999999999961,29.755594234999098,8923.223460441619,42.40576115469493
44.99999999999958,31.628438069903442,9078.918577018787,42.711988007093176
45.49999999999955,33.4765750994722,9228.514315841847,43.01412006606181
45.999999999999524,35.02666356617557,9372.11536923175,43.39909377923955
46.499999999999496,37.14936222619942,9509.50287813619,43.08590501412713
46.99999999999947,38.80503560693237,9642.302888474487,43.29540801191196
47.49999999999944,40.84254931165252,9769.154795721184,43.00297576296956
47.99999999999941,42.55250892890354,9891.366755931227,43.641338879185305
48.49999999999938,44.35389004573697,10008.466558781733,43.51816879581273
48.99999999999935,46.13552592021866,10120.84837549278,43.08053287740245
49.499999999999325,48.104015232702174,10229.204668882936,43.41769958486442
49.9999999999993,50.253260134712704,10333.839245739597,43.55174965105004
50.49999999999927,52.08332436245514,10433.595600161405,43.61586903369046
50.99999999999924,53.78392915093213,10530.577071074707,43.98246606580197
51.49999999999921,55.335099197512356,10623.607943439261,43.51524836664662
51.99999999999918,57.25421159100286,10713.59781147301,43.52618489773023
52.499999999999154,59.02452655582656,10800.724069276548,43.836369340094855
52.999999999999126,61.056640928217114,10884.243409441184,43.89575841723216
53.4999999999991,62.88912940178808,10965.695146792521,44.15311594361846
53.99999999999907,64.39350023686686,11043.951768930363,44.243965619782095
54.49999999999904,66.50928275662353,11120.08571563595,43.66393449202379
54.99999999999901,68.37724548652564,11194.419397396332,44.17168356034986
55.499999999998984,70.11504837727206,11265.81338498985,44.04923566010725
55.999999999998956,72.04568425861349,11335.694567577017,44.234797431054766
56.49999999999893,73.73822057939819,11403.27785911864,43.996340069556844
56.9999999999989,75.48442593301155,11469.231071291357,44.11668430591455
57.49999999999887,77.41700077751769,11533.128300441078,44.11284605742135
57.99999999999884,78.80647345746631,11595.732029980223,44.28514333085251
58.49999999999881,81.0968076948317,11656.765925042628,44.295029863642384
58.999999999998785,83.00556836838356,11716.018073504121,44.24863993857857
59.49999999999876,84.63476181862889,11774.167816189633,44.201562492639496
59.99999999999873,86.20616323763694,11830.815102930257,43.929127529456956
60.4999999999987,88.15850137488304,11886.158650310243,44.296924917286134
60.99999999999867,89.8117168752743,11940.43400107772,44.271635391469076
61.49999999999864,91.52548158318893,11993.596545978075,44.4506158990364
