time,lat,lon,altitude,command_vel,command_gamma,command_sigma,command_airspeed
10.000000000000007,36.24545584912534,-112.2822,7000.0,84.3905,0.0,0.0,84.3905
10.050000000000008,36.245467407798586,-112.2822,6999.919587974597,84.3905,0.0,0.0,84.3905
10.100000000000009,36.24547896276301,-112.2822,6999.75902619575,84.3905,0.0,0.0,84.3905
10.15000000000001,36.24549051408884,-112.2822,6999.518784323139,84.3905,0.0,0.0,84.3905
10.20000000000001,36.245502061919886,-112.2822,6999.199512644961,84.3905,0.0,0.0,84.3905
10.25000000000001,36.2455136064928,-112.2822,6998.802017386821,84.3905,0.0,0.0,84.3905
10.300000000000011,36.24552514815123,-112.2822,6998.327238001128,84.3905,0.0,0.0,84.3905
10.350000000000012,36.245536687355404,-112.2822,6997.776226354692,84.3905,0.0,0.0,84.3905
10.400000000000013,36.245548224687724,-112.2822,6997.1501277340485,84.3905,0.0,0.0,84.3905
10.450000000000014,36.24555976085488,-112.2822,6996.450163587662,84.3905,0.0,0.0,84.3905
10.500000000000014,36.24557129668704,-112.2822,6995.677615922465,84.3905,0.0,0.0,84.3905
10.550000000000015,36.24558283313455,-112.2822,6994.833813269864,84.3905,0.0,0.0,84.3905
10.600000000000016,36.245594371262634,-112.2822,6993.92011813404,84.3905,0.0,0.0,84.3905
10.650000000000016,36.24560591224453,-112.2822,6992.937915833357,84.3905,0.0,0.0,84.3905
10.700000000000017,36.245617457353354,-112.2822,6991.8886046443495,84.3905,0.0,0.0,84.3905
10.750000000000018,36.24562900795318,-112.2822,6990.773587157223,84.3905,0.0,0.0,84.3905
10.800000000000018,36.2456405654894,-112.2822,6989.594262752068,84.3905,0.0,0.0,84.3905
10.85000000000002,36.24565213147891,-112.2822,6988.35202110618,84.3905,0.0,0.0,84.3905
10.90000000000002,36.24566370750007,-112.2822,6987.048236644844,84.3905,0.0,0.0,84.3905
10.95000000000002,36.245675295182764,-112.2822,6985.684263850682,84.3905,0.0,0.0,84.3905
11.000000000000021,36.245686896198734,-112.2822,6984.261433349967,84.3905,0.0,0.0,84.3905
11.050000000000022,36.24569851225217,-112.2822,6982.781048698196,84.3905,0.0,0.0,84.3905
11.100000000000023,36.24571014507082,-112.2822,6981.244383791456,84.3905,0.0,0.0,84.3905
11.150000000000023,36.24572179639755,-112.2822,6979.6526808346225,84.3905,0.0,0.0,84.3905
11.200000000000024,36.24573346798247,-112.2822,6978.007148802149,84.3905,0.0,0.0,84.3905
11.250000000000025,36.245745161575684,-112.2822,6976.3089623319565,84.3905,0.0,0.0,84.3905
11.300000000000026,36.24575687892059,-112.2822,6974.559260997694,84.3905,0.0,0.0,84.3905
11.350000000000026,36.24576862174782,-112.2822,6972.75914890931,84.3905,0.0,0.0,84.3905
11.400000000000027,36.245780391769806,-112.2822,6970.909694596414,84.3905,0.0,0.0,84.3905
11.450000000000028,36.24579219067585,-112.2822,6969.011931133243,84.3905,0.0,0.0,84.3905
11.500000000000028,36.24580402012787,-112.2822,6967.066856468194,84.3905,0.0,0.0,84.3905
11.55000000000003,36.24581588175663,-112.2822,6965.075433924754,84.3905,0.0,0.0,84.3905
11.60000000000003,36.24582777715847,-112.2822,6963.038592844295,84.3905,0.0,0.0,84.3905
11.65000000000003,36.24583970789254,-112.2822,6960.957229344552,84.3905,0.0,0.0,84.3905
11.700000000000031,36.24585167547853,-112.2822,6958.8322071707225,84.3905,0.0,0.0,84.3905
11.750000000000032,36.245863681394674,-112.2822,6956.664358618941,84.3905,0.0,0.0,84.3905
11.800000000000033,36.2458757270763,-112.2822,6954.454485514453,84.3905,0.0,0.0,84.3905
11.850000000000033,36.245887813914635,-112.2822,6952.20336022918,84.3905,0.0,0.0,84.3905
11.900000000000034,36.245899943255914,-112.2822,6949.911726725443,84.3905,0.0,0.0,84.3905
11.950000000000035,36.24591211640083,-112.2822,6947.580301614498,84.3905,0.0,0.0,84.3905
12.000000000000036,36.2459243346042,-112.2822,6945.209775220252,84.3905,0.0,0.0,84.3905
12.050000000000036,36.24593659907486,-112.2822,6942.800812639978,84.3905,0.0,0.0,84.3905
12.100000000000037,36.24594891097578,-112.2822,6940.35405479522,84.3905,0.0,0.0,84.3905
12.150000000000038,36.24596127142431,-112.2822,6937.8701194672085,84.3905,0.0,0.0,84.3905
12.200000000000038,36.24597368149264,-112.2822,6935.34960231216,84.3905,0.0,0.0,84.3905
12.250000000000039,36.24598614220837,-112.2822,6932.793077852716,84.3905,0.0,0.0,84.3905
12.30000000000004,36.24599865455512,-112.2822,6930.201100442563,84.3905,0.0,0.0,84.3905
12.35000000000004,36.24601121947338,-112.2822,6927.574205201948,84.3905,0.0,0.0,84.3905
12.400000000000041,36.24602383786128,-112.2822,6924.912908922395,84.3905,0.0,0.0,84.3905
12.450000000000042,36.246036510575586,-112.2822,6922.217710939427,84.3905,0.0,0.0,84.3905
12.500000000000043,36.24604923843259,-112.2822,6919.489093972511,84.3905,0.0,0.0,84.3905
12.550000000000043,36.24606202220917,-112.2822,6916.727524931844,84.3905,0.0,0.0,84.3905
12.600000000000044,36.24607486264382,-112.2822,6913.933455691853,84.3905,0.0,0.0,84.3905
12.650000000000045,36.246087760437696,-112.2822,6911.107323831593,84.3905,0.0,0.0,84.3905
12.700000000000045,36.24610071625568,-112.2822,6908.249553342389,84.3905,0.0,0.0,84.3905
12.750000000000046,36.24611373072752,-112.2822,6905.360555303285,84.3905,0.0,0.0,84.3905
12.800000000000047,36.24612680444887,-112.2822,6902.440728524974,84.3905,0.0,0.0,84.3905
