time,lat,lon,altitude,groundspeed,gamma,sigma,airspeed,command_vel,command_gamma,command_sigma,command_airspeed
5.04999999999999,36.24545584912534,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,84.3905,0.0,0.0,84.3905
5.09999999999999,36.245467410823935,-112.2822,6999.998014361658,84.38536406800046,-0.00047061203978247205,0.0,84.38536406800046,84.3905,0.0,0.0,84.3905
5.14999999999999,36.24547897129889,-112.2822,6999.992108025085,84.37650643895,-0.001399995982526852,0.0,84.37650643895,84.3905,0.0,0.0,84.3905
5.1999999999999895,36.2454905301991,-112.2822,6999.9803966630425,84.36525532930864,-0.002776350772052385,0.0,84.36525532930864,84.3905,0.0,0.0,84.3905
5.249999999999989,36.2455020873237,-112.2822,6999.961046691017,84.3528581958233,-0.004587880084066949,0.0,84.35285819582329,84.3905,0.0,0.0,84.3905
5.299999999999989,36.24551364260594,-112.2822,6999.932275158016,84.34048653167392,-0.006822762686131016,0.0,84.34048653167392,84.3905,0.0,0.0,84.3905
5.349999999999989,36.245525196098306,-112.2822,6999.892349539556,84.32924023700991,-0.009469127198242283,0.0,84.32924023700993,84.3905,0.0,0.0,84.3905
5.399999999999989,36.245536747958724,-112.2822,6999.839587451385,84.32015159870971,-0.01251503098941003,0.0,84.32015159870971,84.3905,0.0,0.0,84.3905
5.449999999999989,36.24554829843783,-112.2822,6999.772356299828,84.31418891212661,-0.015948442980139522,0.0,84.31418891212662,84.3905,0.0,0.0,84.3905
5.4999999999999885,36.24555984786726,-112.2822,6999.689072882296,84.31225977563497,-0.019757230147599503,0.0,84.31225977563497,84.3905,0.0,0.0,84.3905
5.549999999999988,36.2455713966488,-112.2822,6999.5882029494305,84.31521408695659,-0.023929147550437475,0.0,84.31521408695659,84.3905,0.0,0.0,84.3905
5.599999999999988,36.245582945244486,-112.2822,6999.468260738449,84.32384676852288,-0.028451831704637942,0.0,84.32384676852288,84.3905,0.0,0.0,84.3905
5.649999999999988,36.24559449416752,-112.2822,6999.327808485656,84.3389002475055,-0.03331279715128529,0.0,84.33890024750549,84.3905,0.0,0.0,84.3905
5.699999999999988,36.245606043973915,-112.2822,6999.165455924558,84.36106671461671,-0.038499436062312445,0.0,84.36106671461671,84.3905,0.0,0.0,84.3905
5.749999999999988,36.24561759525497,-112.2822,6998.979859774776,84.39099018433129,-0.043999020731947266,0.0,84.39099018433129,84.3905,0.0,0.0,84.3905
5.799999999999987,36.245629148630336,-112.2822,6998.769723225741,84.42926837780324,-0.04979870880022243,0.0,84.42926837780324,84.3905,0.0,0.0,84.3905
5.849999999999987,36.24564070474665,-112.2822,6998.5337953245535,84.47648990877356,-0.05588554977415536,0.0,84.47648990877356,84.3905,0.0,0.0,84.3905
5.899999999999987,36.24565226427279,-112.2822,6998.270870405857,84.53320667849776,-0.06224649344372242,0.0,84.53320667849776,84.3905,0.0,0.0,84.3905
5.949999999999987,36.245663827895505,-112.2822,6997.979787515824,84.59993418476326,-0.06886840144644416,0.0,84.59993418476326,84.3905,0.0,0.0,84.3905
5.999999999999987,36.24567539631559,-112.2822,6997.6594298282935,84.67715285280045,-0.07573806093481383,0.0,84.67715285280046,84.3905,0.0,0.0,84.3905
6.0499999999999865,36.245686970244584,-112.2822,6997.308724053075,84.76530923952694,-0.08284220014182375,0.0,84.76530923952694,84.3905,0.0,0.0,84.3905
6.099999999999986,36.24569855040189,-112.2822,6996.9266398361115,84.86481712971461,-0.09016750566989609,0.0,84.86481712971462,84.3905,0.0,0.0,84.3905
6.149999999999986,36.24571013751237,-112.2822,6996.512189150961,84.97605854108576,-0.09770064132047915,0.0,84.97605854108578,84.3905,0.0,0.0,84.3905
6.199999999999986,36.24572173230424,-112.2822,6996.06442568088,85.09938465383449,-0.1054282682739441,0.0,85.09938465383449,84.3905,0.0,0.0,84.3905
6.249999999999986,36.245733335507445,-112.2822,6995.582444190708,85.23511667862456,-0.11333706642258587,0.0,85.23511667862456,84.3905,0.0,0.0,84.3905
6.299999999999986,36.24574494785223,-112.2822,6995.065379887687,85.38354667572995,-0.12141375665382764,0.0,85.38354667572996,84.3905,0.0,0.0,84.3905
6.349999999999985,36.245756570068124,-112.2822,6994.512407770399,85.54493833665298,-0.12964512387644336,0.0,85.54493833665298,84.3905,0.0,0.0,84.3905
6.399999999999985,36.24576820288307,-112.2822,6993.922741965014,85.71952773827654,-0.1380180405799899,0.0,85.71952773827654,84.3905,0.0,0.0,84.3905
6.449999999999985,36.24577984702295,-112.2822,6993.295635048189,85.90752407837846,-0.1465194907168716,0.0,85.90752407837846,84.3905,0.0,0.0,84.3905
6.499999999999985,36.24579150321116,-112.2822,6992.630377356026,86.1091104001582,-0.1551365936976842,0.0,86.1091104001582,84.3905,0.0,0.0,84.3905
6.549999999999985,36.2458031721685,-112.2822,6991.926296278695,86.32444431230034,-0.16385662829378533,0.0,86.32444431230033,84.3905,0.0,0.0,84.3905
6.5999999999999845,36.24581485461317,-112.2822,6991.182755540478,86.55365871002618,-0.17266705624644074,0.0,86.55365871002618,84.3905,0.0,0.0,84.3905
6.649999999999984,36.24582655126093,-112.2822,6990.399154465158,86.79686250156816,-0.1815555453893756,0.0,86.79686250156816,84.3905,0.0,0.0,84.3905
6.699999999999984,36.24583826282539,-112.2822,6989.574927226901,87.05414134354366,-0.19050999210103514,0.0,87.05414134354366,84.3905,0.0,0.0,84.3905
6.749999999999984,36.24584999001837,-112.2822,6988.709542086941,87.32555838780834,-0.19951854291420437,0.0,87.32555838780834,84.3905,0.0,0.0,84.3905
