time,lat,lon,altitude,groundspeed,gamma,sigma,airspeed,lift,thrust,command_vel,command_gamma,command_sigma,command_airspeed,command_lift,command_thrust
0.0,36.24545584912534,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.05,36.24546741152889,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.1,36.245478973932435,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.15000000000000002,36.245490536335986,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.2,36.24550209873953,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.25,36.24551366114307,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.3,36.24552522354662,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.35,36.245536785950165,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.39999999999999997,36.245548348353715,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.44999999999999996,36.24555991075726,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.49999999999999994,36.24557147316081,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.5499999999999999,36.24558303556435,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.6,36.245594597967894,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.65,36.245606160371445,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.7000000000000001,36.24561772277499,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.7500000000000001,36.24562928517854,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
0.8000000000000002,36.24564084758208,-112.2822,7000.0,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395,84.3905,0.0,0.0,84.3905,80.0,6.519553980180395
