lat,lon,altitude
36.2434,-112.2822,7000.0
36.2434693006698,-112.2822,6999.823607721534
36.24353846798082,-112.2822,6999.330927313442
36.2436075036899,-112.2822,6998.53189728312
36.24367641053093,-112.2822,6997.439171899859
36.243745192155735,-112.2822,6996.066614693751
36.24381385300259,-112.2822,6994.428439987611
36.24388239814743,-112.2822,6992.538730549564
36.243950833161605,-112.2822,6990.411173419923
36.244019163985556,-112.2822,6988.0589221308865
36.24408739682006,-112.2822,6985.494531959016
36.24415551573867,-112.28219998300398,6982.729147518675
36.24422345167906,-112.28219993433375,6979.771543074936
36.24429115061346,-112.28219985288354,6976.629737104259
36.24435857860422,-112.28219973755847,6973.311191782608
36.24442571526462,-112.28219958728427,6969.822871243711
36.24449254934044,-112.28219940101192,6966.171308332946
36.244559075724005,-112.2821991777201,6962.362667006493
36.244625293435476,-112.28219891641601,6958.402795616699
36.24469120425754,-112.28219861613614,6954.2972702524285
36.24475681181119,-112.28219827594624,6950.051429024817
36.24482212092963,-112.28219789494146,6945.6703987878445
36.244887137233476,-112.28219747224612,6941.159115845
36.24495186684216,-112.28219700701342,6936.522342026308
36.245016316177264,-112.28219649842522,6931.764677278977
36.2450804918283,-112.28219594569157,6926.8905696732845
36.245144400460575,-112.28219534805018,6921.9043235131685
36.24520804875187,-112.28219470476601,6916.810106067297
36.24527144334844,-112.28219401513076,6911.611953300102
36.24533459083452,-112.28219327846219,6906.313774878235
36.24539749771079,-112.28219249410361,6900.919358650264
36.24546017037919,-112.28219166142337,6895.432374740242
36.2455226151321,-112.2821907798141,6889.856379354278
36.245584838144644,-112.2821898486923,6884.194818369391
36.24564684546905,-112.2821888674976,6878.451030752656
36.24570864303069,-112.28218783569234,6872.628251843622
36.245770236625255,-112.28218675276091,6866.729616522473
36.24583163191674,-112.28218561820918,6860.758162279082
36.245892834436226,-112.28218443156408,6854.716832193095
36.245953849581014,-112.282183192373,6848.608477831741
36.2460146826144,-112.28218190020323,6842.435862069815
36.246075338665655,-112.28218055464153,6836.20166183473
36.24613582273036,-112.28217915529366,6829.908470778606
36.246196139670914,-112.2821777017839,6823.55880187876
36.246256294217496,-112.28217619375451,6817.155089967609
36.24631629096892,-112.28217463086544,6810.699694192821
36.24637613439393,-112.2821730127938,6804.194900408522
36.24643582883242,-112.2821713392335,6797.642923498294
36.24649537849704,-112.28216960989471,6791.045909630816
36.24655478747469,-112.2821678245037,6784.405938449022
36.2466140597283,-112.28216598280227,6777.725025193759
36.24667319909855,-112.28216408454749,6771.0051227629665
36.246732209305826,-112.28216212951126,6764.248123707514
36.24679109395214,-112.28216011748007,6757.455862164895
36.24684985652321,-112.2821580482546,6750.630115732021
36.24690850039049,-112.28215592164929,6743.772607278451
36.24696702881331,-112.28215373749222,6736.885006701378
36.24702544494104,-112.28215149562472,6729.968932623821
36.247083751815325,-112.282149195901,6723.02595403739
36.24714195237226,-112.28214683818794,6716.057591891107
36.247200049444665,-112.28214442236481,6709.065320627743
36.24725804576431,-112.28214194832289,6702.050569669094
36.24731594396424,-112.28213941596533,6695.014724851725
36.24737374658094,-112.28213682520682,6687.959129814584
36.24743145605672,-112.28213417597327,6680.885087339971
36.247489074741864,-112.2821314682017,6673.793860649282
36.247546604896954,-112.2821287018399,6666.686674654967
36.24760404869507,-112.28212587684617,6659.56471717007
36.24766140822399,-112.28212299318913,6652.429140076745
36.24771868548848,-112.2821200508475,6645.281060455107
36.24777588241233,-112.2821170498098,6638.121561673699
36.247833000840636,-112.28211399007427,6630.951694442911
36.247890042541876,-112.28211087164847,6623.772477832576
36.24794700921,-112.28210769454921,6616.584900255
36.24800390246649,-112.28210445880225,6609.389920414579
36.248060723862494,-112.28210116444218,6602.1884682252285
36.2481174748807,-112.28209781151216,6594.98144569669
36.2481741569374,-112.28209440006371,6587.769727790847
36.248230771384414,-112.28209093015654,6580.554163249119
36.248287319510986,-112.28208740185842,6573.335575391916
36.24834380254564,-112.28208381524489,6566.114762891224
36.248400221658045,-112.28208017039911,6558.892500517203
36.248456577960795,-112.28207646741173,6551.669539859782
36.24851287251117,-112.28207270638066,6544.4466100261525
36.24856910631287,-112.2820688874109,6537.224418314987
36.24862528031767,-112.2820650106144,6530.00365086826
36.24868139542714,-112.2820610761098,6522.784973301465
36.248737452494176,-112.28205708402247,6515.569031313008
36.24879345232463,-112.28205303448411,6508.356451273533
36.24884939567881,-112.28204892763267,6501.147840795892
36.24890528327304,-112.28204476361226,6493.943789286472
36.24896111578104,-112.28204054257296,6486.74486847854
36.249016893835474,-112.28203626467064,6479.551632948272
36.2490726180292,-112.28203193006681,6472.364620614037
36.24912828891676,-112.28202753892852,6465.184353219617
36.24918390701562,-112.28202309142819,6458.011336801856
36.24923947280754,-112.28201858774341,6450.846062143351
36.249294986739734,-112.28201402805686,6443.689005210697
36.24935044922617,-112.28200941255626,6436.540627578792
36.24940586064872,-112.28200474143405,6429.401376841705
36.24946122135831,-112.28200001488729,6422.2716870105905
36.249516531676115,-112.28199523311768,6415.151978899085
36.24957179189458,-112.28199039633137,6408.042660496651
36.24962700227852,-112.28198550473864,6400.94412733025
36.24968216306614,-112.28198055855411,6393.856762814815
36.249737274470064,-112.28197555799632,6386.780938592833
36.249792336678276,-112.28197050328781,6379.717014863497
36.24984734985511,-112.28196539465486,6372.665340701709
36.249902314142155,-112.2819602323275,6365.626254367349
36.249957229659124,-112.2819550165393,6358.600083605104
36.250012096504754,-112.28194974752728,6351.587145935186
36.25006691475767,-112.2819444255318,6344.587748935256
36.250121684477136,-112.28193905079655,6337.60219051386
