lat,lon,altitude,time
36.2434,-112.2822,7000.0,0.0
36.243515511639856,-112.2822,6996.24817058926,0.5000000000000002
36.243631545598475,-112.2822,6986.648594990139,1.0000000000000007
36.24375150073641,-112.28219899132986,6974.334438452762,1.500000000000001
36.243879109622,-112.28219580277822,6961.730260649731,2.0000000000000013
36.2440140787534,-112.28219040965342,6948.959497549682,2.4999999999999907
36.24415579799718,-112.28218282164529,6936.126786134534,2.99999999999998
36.24430365968751,-112.28217306678101,6923.326678696455,3.4999999999999694
36.24445707421747,-112.28216118787154,6910.643116177551,3.9999999999999587
36.24461547446487,-112.28214723964851,6898.149869245929,4.4999999999999485
36.24477831853983,-112.28213128632188,6885.911070156329,4.999999999999938
36.24494509154467,-112.28211339948714,6873.981793173665,5.499999999999927
36.245115306619546,-112.28209365633134,6862.4086661405645,5.9999999999999165
36.24528850545545,-112.28207213809401,6851.230498238491,6.499999999999906
36.24546425840259,-112.28204892874875,6840.4789115109625,6.999999999999895
36.245642164267984,-112.28202411387507,6830.178966172454,7.4999999999998845
36.24582184987204,-112.28199777969608,6820.349771874205,7.999999999999874
36.24600296941876,-112.28197001226022,6811.005078896365,8.499999999999863
36.24618520372162,-112.28194089675037,6802.1538447171615,8.999999999999853
36.246368259318906,-112.28191051690325,6793.800772624034,9.499999999999842
36.246551867506376,-112.28187895452713,6785.946820027421,9.999999999999831
36.24673578330926,-112.2818462891051,6778.5896749564,10.49999999999982
36.246919784412434,-112.2818125974741,6771.7241998894,10.99999999999981
36.247103670064284,-112.28177795357071,6765.342842628855,11.4999999999998
36.247287259966896,-112.28174242823525,6759.436014386041,11.999999999999789
36.24747039316381,-112.28170608906734,6753.992435617428,12.499999999999778
36.24765292693391,-112.28166900032618,6748.9994504589995,12.999999999999767
36.24783473569917,-112.28163122287005,6744.443310850501,13.499999999999757
36.248015709952725,-112.2815928141296,6740.309431635041,13.999999999999746
36.24819575521191,-112.28155382811062,6736.582618068249,14.499999999999735
36.24837479100106,-112.28151431542175,6733.247267280452,14.999999999999725
36.24855274986663,-112.28147432332368,6730.287545310124,15.499999999999714
36.24872957642807,-112.2814338957962,6727.687541371619,15.999999999999703
36.24890522646581,-112.28139307362045,6725.431401038574,16.49999999999978
36.24907966604806,-112.2813518944736,6723.503440019823,16.999999999999858
36.24925287069711,-112.28131039303308,6721.888240180675,17.499999999999936
36.249424824595835,-112.28126860108902,6720.570729421715,18.000000000000014
36.249595519834344,-112.28122654766265,6719.536246972649,18.500000000000092
36.249764955696705,-112.28118425912878,6718.770595592942,19.00000000000017
36.249933137987036,-112.28114175934118,6718.260082096289,19.50000000000025
36.25010007839446,-112.28109906976013,6717.991547534533,20.000000000000327
36.250265793895956,-112.28105620957982,6717.952388290711,20.500000000000405
36.2504303061958,-112.28101319585573,6718.130569242016,21.000000000000483
36.2505936412009,-112.28097004363096,6718.514630063568,21.50000000000056
36.250755828530025,-112.28092676606039,6719.093685654151,22.00000000000064
36.25091690105611,-112.28088337453283,6719.857421576871,22.500000000000718
36.2510768944801,-112.2808398787899,6720.796085322103,23.000000000000796
36.251235846934485,-112.28079628704211,6721.900474117837,23.500000000000874
36.25139379861559,-112.28075260608117,6723.161919934433,24.000000000000952
36.251550791442746,-112.28070884138869,6724.572272257124,24.50000000000103
36.25170686874315,-112.28066499724065,6726.123879131124,25.00000000000111
36.25186207496076,-112.28062107680843,6727.809566920502,25.500000000001187
36.25201645538794,-112.28057708225509,6729.622619163794,26.000000000001265
36.252170055918526,-112.28053301482795,6731.556754856138,26.500000000001343
36.2523229228211,-112.28048887494657,6733.606106439672,27.00000000000142
36.25247510253098,-112.28044466228687,6735.7651977408,27.5000000000015
36.25262664145994,-112.28040037586116,6738.028922054349,28.000000000001577
36.25277758582272,-112.2803560140937,6740.392520540583,28.500000000001656
36.25292798147873,-112.28031157489254,6742.851561070937,29.000000000001734
36.25307787378869,-112.28026705571723,6745.401917631967,29.500000000001812
36.25322730748455,-112.28022245364285,6748.039750374198,30.00000000000189
36.25337632655251,-112.28017776541981,6750.7614863726985,30.500000000001968
36.253524974127714,-112.28013298753035,6753.563801149176,31.000000000002046
36.253673292400386,-112.2800881162413,6756.443600990872,31.500000000002125
36.2538213225323,-112.28004314765309,6759.398006089189,32.0000000000022
36.253969104583334,-112.2799980777455,6762.424334510508,32.5000000000021
36.25411667744706,-112.27995290242019,6765.520087002969,33.000000000002004
36.25426407879507,-112.27990761753973,6768.682932635725,33.500000000001904
36.254411345029666,-112.27986221896374,6771.910695261093,34.000000000001805
36.25455851124391,-112.27981670258184,6775.201340785217,34.500000000001705
36.25470561118909,-112.27977106434373,6778.552965228827,35.000000000001606
36.254852677248856,-112.27972530028629,6781.963783556452,35.500000000001506
36.25499974041958,-112.27967940655863,6785.432119250016,36.00000000000141
36.25514683029687,-112.27963337944348,6788.956394600808,36.50000000000131
36.2552939750675,-112.27958721537709,6792.535121692296,37.00000000000121
36.25544120150642,-112.2795409109663,6796.166894045273,37.50000000000111
36.25558853497891,-112.27949446300313,6799.8503788962,38.00000000000101
36.25573599944678,-112.27944786847776,6803.584310079081,38.50000000000091
36.255883617479235,-112.27940112458909,6807.367481481164,39.00000000000081
36.25603141026712,-112.27935422875346,6811.198741042789,39.50000000000071
36.25617939764107,-112.27930717861179,6815.0769852719295,40.00000000000061
36.256327598092696,-112.27925997203444,6819.001154244386,40.50000000000051
36.256476028798794,-112.27921260712516,6822.970227061085,41.00000000000041
36.25662470564827,-112.2791650822233,6826.9832177345315,41.50000000000031
