time (seconds),bearing (Degrees),range (Feet),elevation (Degrees)
25.00000000000022,0.0,0.0,0.0
25.500000000000227,-2.0248905936693923e-10,44.40087575524222,17.71284176093652
26.000000000000234,-5.944763866799478e-10,98.77702459401446,27.598409322588918
26.50000000000024,-1.4446967662229918e-10,166.66151966002343,32.95584894374585
27.00000000000025,-1.8626089864174717e-11,247.92209458546387,35.94440531485397
27.500000000000256,-1.4882141225222655e-10,341.3809874828992,37.7310154332202
28.000000000000263,-3.496030178118619e-11,445.8138255563156,38.873223063230014
28.50000000000027,-2.5934300444672492e-11,560.16574244487,39.645500286068796
29.000000000000277,8.384932004418876e-12,683.5467233819849,40.19160594851206
29.500000000000284,-8.971643591595187e-11,815.1896333851045,40.5917615447245
30.00000000000029,-1.1671467571192333e-10,954.4145040093907,40.89336331553265
30.5000000000003,-2.4448186235224294e-11,1100.6043596769339,41.12583655100648
31.000000000000306,-4.8784523430070535e-11,1253.1898878245192,41.30824349210568
31.500000000000313,-1.1938926329121613e-11,1411.6398220842918,41.45339175986655
32.00000000000032,-6.167319014295882e-11,1575.4548194700646,41.570160833146964
32.50000000000029,-5.1760332239571935e-11,1744.1634448046111,41.66487607410933
33.00000000000026,3.055223636009934e-12,1917.3194305405016,41.74215097393624
33.500000000000234,-4.697824729601494e-11,2094.4997169820026,41.80542068438753
34.000000000000206,7.341685499968684e-12,2275.3029764533326,41.85728998033321
34.50000000000018,-1.2624782791930251e-11,2459.3484417648383,41.899766150490066
35.00000000000015,-3.4972974710723374e-11,2646.274928511084,41.93441851538699
35.50000000000012,-5.6267536103669534e-11,2835.7399826568626,41.962489975670344
36.00000000000009,-2.1078235506330037e-11,3027.41911029447,41.984976483294375
36.500000000000064,-9.588778633846892e-12,3221.005062610822,42.00268462174747
37.000000000000036,-1.8032374334950994e-11,3416.207158961946,42.01627396795249
37.50000000000001,-8.716090966574907e-12,3612.7506375599755,42.02628869448964
37.99999999999998,-3.406250622762429e-11,3810.376027266416,42.03318144741944
38.49999999999995,3.45654865824631e-12,4008.8385367531832,42.037331599273344
38.99999999999992,-7.938223132045159e-12,4207.9074588095355,42.03905935290959
39.49999999999989,-1.0454049652345238e-11,4407.365588931462,42.03863674823845
39.999999999999865,0.0031586195806842547,4607.057248090335,42.03638816112593
40.49999999999984,0.08420530739424698,4807.315135280066,42.03273381385664
40.99999999999981,0.27157389404826004,5007.096255970335,42.0250548266947
41.49999999999978,0.5546539027229336,5205.688741990138,42.01287211391979
41.99999999999975,0.920216643528894,5402.762950122024,41.99681212059922
42.49999999999972,1.355482790763711,5598.129968969854,41.97766712139978
42.999999999999694,1.849017508792236,5791.662029308255,41.95614604765551
43.499999999999666,2.3908857491453364,5983.264219814827,41.932828661386765
43.99999999999964,2.9725636521594825,6172.863014796707,41.90817518839799
44.49999999999961,3.5867799282954977,6360.400618775263,41.882547417914175
44.99999999999958,4.22734824982981,6545.831566526248,41.8562290195289
45.49999999999955,4.889011448129964,6729.120376717779,41.82944235049802
45.999999999999524,5.567303643232224,6910.239809839294,41.802361719525635
46.499999999999496,6.258430994924099,7089.169529081293,41.77512370333302
46.99999999999947,6.959169771253104,7265.895051965823,41.74783515209936
47.49999999999944,7.66677978752343,7440.406919138651,41.72057941603574
47.99999999999941,8.378931162920873,7612.700027852769,41.693421208367816
48.49999999999938,9.093642464658663,7782.77309079197,41.6664104206289
48.99999999999935,9.809228509588918,7950.628191092508,41.63958512968277
49.499999999999325,10.524256314589588,8116.270411236864,41.61297397782385
49.9999999999993,11.237507904581738,8279.707519128826,41.586598064005564
50.49999999999927,11.947948880413042,8440.94969857941,41.56047245186978
50.99999999999924,12.654701822339323,8600.009314720517,41.53460737604207
51.49999999999921,13.357023753241593,8756.90070699179,41.50900920956162
51.99999999999918,14.054287012101074,8911.640004221705,41.48368124159353
52.499999999999154,14.745962993770267,9064.244957726221,41.45862430381226
52.999999999999126,15.431608302045136,9214.734789109685,41.433837275567655
53.4999999999991,16.110852937143505,9363.13005053857,41.40931749189983
53.99999999999907,16.78339019946555,9509.452495546302,41.38506107322731
54.49999999999904,17.44896804581607,9653.724958998222,41.361063191853816
54.99999999999901,18.10738167566521,9795.971245250408,41.33731828747268
55.499999999998984,18.7584671602128,9936.216023491119,41.313820241266036
55.999999999998956,19.40209595935642,10074.48472981143,41.290562516570546
56.49999999999893,20.038170193988524,10210.80347532924,41.26753827229248
56.9999999999989,20.66661856252835,10345.198960092022,41.244740454292106
57.49999999999887,21.287392809649038,10477.698392293843,41.22216186883861
57.99999999999884,21.90046466528235,10608.329412589439,41.19979524154278
58.49999999999881,22.505823189880157,10737.120023207664,41.17763326446332
58.999999999998785,23.103472467082483,10864.098521719676,41.15566863372875
59.49999999999876,23.69342959596972,10989.293439067593,41.133894079303886
59.99999999999873,24.275722941575314,11112.73348190844,41.11230238863512
60.4999999999987,24.850390608972027,11234.44747883507,41.090886425184
60.99999999999867,25.417479110165583,11354.464330483177,41.069639142917424
61.49999999999864,25.977042198919445,11472.812963240689,41.0485535975658
61.999999999998614,26.529139850168946,11589.52228644549,41.027622955276144
62.499999999998586,27.07383736680353,11704.621152807482,41.00684049916495
62.99999999999856,27.611204595740144,11818.138322055265,40.986199634289186
63.49999999999853,28.141315240089018,11930.10242748585,40.96569389125616
63.9999999999985,28.664246255972586,12040.54194530103,40.94531692887621
64.49999999999848,29.18007732141349,12149.485166673265,40.9250625359284
64.99999999999845,29.688890370590016,12256.960172237303,40.90492463241982
65.49999999999842,30.190769183514906,12362.99480897337,40.88489727025862
